Info.ISIN,Info.CompanyDescription,Info.CompanyName,Info.Ticker,Info.Country,Info.List,Info.Industry,Info.ReportDate.Next,Stock.LatestPrice,Stock.Return.Act_1d,Stock.Return.Act_1w,Stock.Return.Act_1m,Stock.Return.Act_3m,Stock.Return.Act_6m,Stock.Return.Act_1y,Stock.Return.Act_3y,Stock.Return.Act_5y,Valuation.MarketCap,Valuation.P_E.Latest,Valuation.P_E.Avg_1y,Valuation.P_E.Avg_3y,Valuation.P_S.Latest,Valuation.P_S.Avg_1y,Valuation.P_S.Avg_3y,Valuation.P_FCF.Latest,Valuation.P_FCF.Avg_1y,Valuation.P_FCF.Avg_3y,TA.MA5_MA20,TA.MA20_MA70,TA.MA50_MA200,Strat.Graham,Profitability.ROC
SE0001920760,,A City Media,ACM,Sverige,First North,Media,2017-05-24,125,-0.0328820124268532,-0.156829684972763,-0.0530303046107292,-0.198717951774597,0.152073740959167,0.0869565233588219,,,182.875,27.9030303955078,18.680269241333,18.2973709106445,1.74560701847076,1.59559297561645,1.47428798675537,36.6777000427246,393.763610839843,18.5531997680664,,-0.00892698764801025,0.0923089981079102,,0.16847850382328
SE0007158456,,A Group of Retail,AGORA B,Sverige,First North,Fastigheter,,24.6000003814697,,-0.0428015701472759,0.00408164830878377,-0.0681817904114723,-0.0888888761401176,-0.278592348098755,,,668.505004882812,6.82158517837524,7.53306913375854,8.69040584564208,1.90457296371459,2.10150003433227,3.24665904045104,-7.34620904922485,-6.9424180984497,-6.06680679321289,-0.0214862823486328,0.000817298889160156,-0.0849692225456238,,0.0322504714131355
DK0010244508,,A.P. Moller Maersk B,MAERSK B,Denmark,Large Cap,Handel & Distribution,2017-05-11,12480,,0.0146341463550925,0.0666666626930237,0.10442478209734,0.352112680673599,0.434482753276825,-0.115520909428596,0.69657427072525,259434.203125,-20.3176193237304,-18.4501895904541,4.7608208656311,1.07000398635864,0.889703810214996,0.959249377250671,20.0896892547607,89.5320434570312,22.2272605895996,0.0289463996887207,0.0189273357391357,0.0852366611361504,3,
SE0009973357,,A1M Pharma,A1M,Sverige,Aktietorget,Sjukvård,2017-05-24,11.4499998092651,-0.017167367041111,,-0.322485208511353,-0.538306415081024,-0.737385332584381,-0.791818141937255,-0.883163273334503,,625.341674804687,-10.2186498641967,-7.23809623718261,-8.35914230346679,,,,-13.0589704513549,-7.80413913726806,-9.06843090057373,-0.182630002498627,-0.332849383354187,-0.495242238044739,,-4.98743391036987
DK0010247014,,Aalborg Boldspilklub,AAB,Denmark,Small Cap,"Hotell, restaurang & nöje",,0.319000005722046,,-0.0244647916406393,0.0668896660208702,0.077702708542347,0.351694941520691,0.212927728891373,-0.438972890377045,0.736527025699615,,,,,,,,,,,0.00515067577362061,0.0551215410232544,0.110836617648602,2,
DK0010263722,,Aarhus Elite,ELITE B,Denmark,Small Cap,"Hotell, restaurang & nöje",,0.226999998092651,,0.00888890773057938,0.220430076122284,0.0271493084728718,-0.0381356067955494,-0.200704246759415,-0.408546090126038,-0.713636934757232,,,,,,,,,,,0.110024452209473,-0.0092739462852478,-0.13585764169693,2,
SE0001493776,"AAK är en leverantör av vegetabiliska oljor och fetter. Expertisen inom oljor och fetter i livsmedelsapplikationer, utbudet av olika råvaror samt den breda processkapaciteten möjliggör utveckling av lösningar inom många industrier, däribland konfektyr, bageri, mejeri, barnmat, kosmetik och foodservice. Produktutvecklingen sker i nära samarbete med kunderna. AAK har 19 olika produktionsanläggningar, försäljningskontor i fler än 25 länder.",AarhusKarlshamn,AAK,Sverige,Large Cap,Livsmedel,2017-04-20,640.5,0.00313234142959118,0.0289156623184681,0.0199044588953257,0.0719665288925171,0.130626663565636,0.0248000007122755,0.467017859220505,1.71398305892944,27085.4609375,25.9937896728515,25.3023605346679,24.7552299499511,1.13408994674682,1.14490294456481,1.11169302463531,-48.366901397705,-27.2196407318115,-44.5255889892578,-0.00177603960037231,0.0369688272476196,0.0174167156219482,5,0.141029998660088
NO0010672181,,Aasen Sparebank,AASB-ME,Norge,Merkur Market,Bank,2017-05-10,124,,,-0.00800000037997961,-0.0387596897780895,0.127272725105286,-0.00800000037997961,,,49.599998474121,1.93206596374511,1.33191394805908,0.644021987915039,0.600738823413848,0.401416301727295,0.200246304273605,,,,0.0147299766540527,-0.0183613300323486,0.0580799579620361,,0.012618069536984
CH0012221716,"ABB är ett kraft- och automationsföretag verksamt i omkring hundra länder. Bolagets största marknad är Europa, som står för knappt hälften av omsättningen. Verksamheten är indelad i fem affärsområden:

Power Products: Nyckelkomponenter för överföring och distribution av elektricitet..
Power Systems: System och tjänster för kraftöverförings- och distributionsnät samt kraftanläggningar.
Discrete Automation and motion : Energieffektiva produkter för produktivitetsökning, som motorer, drivsystem, generatorer och industrirobotar. Slutkunder finns främst inom industrin samt energi- och byggnadssektorn.
Process Automation: Integrerade lösningar för styrning och optimering till kunder tillhörande energi-, kemi-, läkemedels- samt pappers- och massaindustrin.
Low Voltage Products: Produkter för att skydda människor, installationer och elektronisk utrustning från elektrisk överbelastning, som lågspänningsbrytare, strömbrytare, kablage, kapslingar och kabelsystem.",ABB,ABB,Sverige,Large Cap,Produktion,2017-04-20,216.899993896484,0.00370193342678249,-0.00458926102146506,0.0135513730347157,0.0721699967980385,0.137985244393349,0.246551692485809,0.366729646921158,0.857020437717437,464166,24.576509475708,22.3953495025634,22.802770614624,1.58193397521972,1.24682700634002,1.34412097930908,10.8908100128173,13.6094903945922,13.9778995513916,-0.00193047523498535,0.039159893989563,0.0613832473754883,3,0.163813799619675
NO0003021909,,ABG Sundal Collier,ASC,Norge,OB Match,Bank,2017-04-26,5.38999986648559,-0.00185189431067556,-0.00185189431067556,-0.103161446750164,-0.0200000237673521,0.137130826711655,-0.0288288854062557,-0.00919121131300926,0.429708182811737,2537.32592773437,10.4680500030517,13.6456003189086,11.9134397506713,1.91684401035308,2.20086503028869,2.09116101264953,9.19321155548095,12.376669883728,10.0066900253295,-0.00598037242889404,-0.0121143460273743,0.0540434122085571,,2.30168008804321
