Bolagsnamn,Land,Lista,Bransch,Ticker,ISIN,Börsvärde,Aktiekurs,Utveck.  1d,Utveck.  1v,Utveck.  1m,Utveck.  3m,Utveck.  6m,Utveck.  1 år,Utveck.  3 år,Utveck.  5 år,P/E,P/E avg - 1 år,P/E avg - 3 år,P/S,P/S avg - 1 år,P/S - avg 3 år,P/FCF,P/FCF avg - 1 år,P/FCF avg - 3 år,MA(5)/MA(20),MA(20)/MA(70),MA(50)/MA(200),N. Rapport Datum,N. Rapport Dagar,Graham_Score
Novus,Sverige,Aktietorget,Programvara & Internet,NOVU,SE0001989260,29.0416,2.8,-0.01754384,-0.03448281,-0.03448281,-0.06666669,-0.08794788,0.4583334,0.1914894,1,15.74803,35.85797,14.86133,0.6413639,0.7104009,0.6672394,,10.06806,-6.518046,0.01787591,0.008127213,0.008102775,08/05/2017,,
NRC Group,Norge,OB Match,Kommunikation,NRC,NO0003679102,1934.314,54.5,0,-0.01801802,-0.09543569,-0.1065574,-0.2214286,0.07920792,,,30.15048,28.96254,30.31851,0.9870042,0.9749238,1.208055,9.999556,-1.994804,9.987085,-0.04807692,-0.02186394,-0.08422589,11/05/2017,,1
NTS,Norge,OB Standard,Tjänster & Leverans,NTS,NO0004895103,1086.49,44.8,0,0.05660372,0.518644,0.550173,0.6290909,0.4043887,1.601974,,12.33752,11.20539,12.02895,1.972649,1.506868,1.530784,12.77847,-9.351052,-10.79216,0.04911947,0.2762218,0.1574128,11/05/2017,,
Nuevolution,Sverige,First North,Läkemedel,NUE,SE0007730650,711.4428,16.6,-0.01775143,-0.04597697,-0.01190469,-0.1741294,0.6274511,0.5586855,,,-4.906743,-4.906743,,33.37913,33.37913,,-8.311733,-8.311733,,0.002077818,-0.0452227,0.2362462,17/05/2017,,3
Nurminen Logistics,Finland,Small Cap,Tjänster & Leverans,NLG1V,FI0009900187,14.86548,1.02,0,-0.05555561,-0.05555561,0.3509933,0.275,0.36,-0.3333333,-0.4697993,-4.228856,-4.657642,-5.076355,0.295325,0.3723421,0.3618849,2.780153,7.596953,-28.93839,-0.02268422,0.09370147,0.2426951,,,
Oasmia Pharmaceutical,Sverige,Small Cap,Bioteknik,OASM,SE0000722365,674.0649,5.7,-0.03389835,-0.1162791,-0.1617648,-0.2137931,-0.3804348,-0.5308642,-0.7205882,-0.1617648,-4.460094,-6.75936,-8.944689,41.11907,50.18972,60.46994,-5.082947,-7.111613,-8.174516,-0.0313617,-0.007597864,-0.2478352,,,
Obducat,Sverige,NGM,Produktion,OBDU B,SE0000514705,137.4542,2.9,-0.01360543,-0.0333333,0.01045303,0.08614233,-0.4423077,-0.6666666,-0.7583334,0.5343916,-3.153202,-7.579173,-8.098673,2.737368,4.162156,4.647257,-7.299357,-5.343581,-6.535546,0.007901549,-0.03437161,-0.4080445,28/04/2017,,1
Oboya Horticulture,Sverige,Aktietorget,Handel & Distribution,OBOYA B,SE0006259834,274.9812,15.6,-0.02499998,-0.006369391,0.01960786,0.01298706,0.02631583,-0.3004484,,,38.41418,77.48674,21.83344,0.7278505,0.7753487,0.6942099,7.284656,-10.07262,8.501427,0.06934667,-0.001338184,-0.01529419,10/05/2017,,
Ocean Yield,Norge,OB Match,Tjänster & Leverans,OCY,NO0010657448,9787.8,66,0,-0.01123596,0.04347826,0.056,-0.01858736,0.2222222,0.7098446,,12.2793,10.78377,11.14353,3.771212,3.432132,3.50512,-13.18648,-5.752149,-8.302266,0.01829386,0.02605283,-0.02014613,08/05/2017,,3
Oceanteam,Norge,OB Match,Tjänster & Leverans,OTS,NO0010317316,148.5569,5.02,0,-0.1619365,0.003999996,0.3715847,2.346667,0.3641304,0.1895735,0.1409091,-2.81975,-1.81647,-2.666806,0.3093212,0.2954143,0.3251802,4.562151,2.131409,2.156567,-0.1429268,0.2748837,0.5916286,18/05/2017,0,1
Odd Molly,Sverige,Small Cap,kläder & Textil,ODD,SE0002017657,238.1328,41.4,-0.009569324,-0.155102,-0.155102,-0.1761194,-0.009569324,0.1219512,-0.1619433,0.6235295,14.43011,16.21789,17.45309,0.5517839,0.5505723,0.6001068,-77.87207,-30.27719,-37.32944,-0.08429617,-0.08187056,0.1036838,11/05/2017,,1
Oden Control,Sverige,Aktietorget,Produktion,ODEN,SE0003623560,10.95774,1.81,-0.005494565,-0.1955556,-0.09500003,-0.1883408,-0.3535714,0.3923077,1.104651,,-262.3188,-140.4054,-160.1385,11.2157,11.522,9.594919,50.03534,-523.5643,-536.0572,-0.04060531,-0.09474891,-0.1829897,28/04/2017,,1
Odfjell B,Norge,OB Match,Tjänster & Leverans,ODFB,NO0003399917,2373,30,0,-0.09638557,-0.09090909,0.07526883,0.1152417,0.0600707,0.03448276,-0.1044776,3.539489,5.494328,-0.1354394,0.3348517,0.2933754,0.2938288,2.086723,1.676162,2.236821,-0.04363978,0.03349483,0.105639,,,3
Odfjell Drilling,Norge,OB Match,Olja & Gas,ODL,BMG671801022,3636.869,18.3,0,0,-0.1285715,0.2534246,0.3969465,2.719512,-0.4617647,,-6.757505,1.661247,2.848999,0.6547063,0.34736,0.5095848,2.433074,0.3757027,0.8454365,-0.01641142,0.05117893,0.3453176,11/05/2017,,2
OEM,Sverige,Mid Cap,Handel & Distribution,OEM B,SE0005876968,4609.847,199.5,-0.04316547,-0.06775701,-0.05,0.1735294,0.3434343,0.5585938,0.9752475,1.860215,21.64267,17.36289,17.83612,1.854323,1.436242,1.474697,30.93857,24.04588,24.77376,-0.01360142,0.1192322,0.2188277,19/04/2017,,4
Olvi,Finland,Mid Cap,Livsmedel,OLVAS,FI0009900401,626.8916,30.2,0.01172531,0.02130541,0.08438063,0.07435077,0.05927746,0.1615385,0.2851064,0.6324325,17.873,16.67604,18.54646,1.887824,1.638602,1.680623,15.46658,11.20565,13.5298,0.02887654,0.04775178,0.00604713,28/04/2017,,3
Oncology Venture,Sverige,Aktietorget,Läkemedel,OV,SE0007157409,368.7084,36.6,-0.03430087,-0.05912604,0.03098587,-0.09181144,-0.4557621,2.312217,,,-10.02602,-10.02602,,113.6936,113.6936,,-9.858514,-9.858514,,-0.0354932,-0.004544437,-0.08143187,19/05/2017,1,3
Oncopeptides,Sverige,Mid Cap,Läkemedel,ONCO,SE0009414576,,43.7,-0.01354398,-0.06223171,-0.01354398,,,,,,,,,,,,,,,-0.02699161,0.02996755,-0.00224489,,,2
Oniva Online Group,Sverige,First North,Programvara & Internet,ONG,SE0005249570,131.2674,6.6,0.03937008,0.03937008,-0.01492536,0.03124997,0.007633544,-0.07042254,-0.8541691,-0.8848031,-7.334148,-6.175172,-7.112862,0.7636265,0.9337534,0.8982115,15.81535,1.342295,6.230108,-0.01042068,,-0.0243057,26/04/2017,,1
Online Brands Nordic,Sverige,First North,Återförsäljare,OBAB,SE0001960949,15.53338,0.71,0,-0.06578949,-0.1125,0.1181102,0.0441176,0.2678571,-0.569697,-0.8422222,-19.61326,-19.18439,-18.74784,0.6376855,0.7552834,0.5855732,-6.03707,1.510724,-7.787601,-0.05111408,0.03367531,0.060673,,,
Onxeo,Denmark,Mid Cap,Läkemedel,ONXEO,FR0010095596,,22.5,-0.02597404,0.03211013,0.1306533,0.2032085,0.1658031,-0.05462182,,,,,,,,,,,,0.1304975,0.06450558,-0.006058216,,,2
Opera Software,Norge,OB Match,Programvara & Internet,OPERA,NO0010040611,4596.843,31.3,0,-0.1741425,-0.2175,-0.14011,-0.380198,-0.4951613,-0.5518969,-0.1256983,1.341948,-10.33467,-6.914014,1.119666,1.434766,1.613289,1.041018,-2.636844,-2.32537,-0.1347727,-0.01395977,-0.1714324,11/05/2017,,3
OptiFreeze,Sverige,Aktietorget,Handel & Distribution,OPTI,SE0005881786,218.79,25.5,-0.01923077,-0.0413534,-0.1442953,-0.1021127,-0.1237113,-0.01923077,,,-32.36451,-41.96824,-40.89226,213.6621,310.0691,318.5388,-24.69971,-39.84451,-35.59026,-0.0401761,-0.04315662,-0.08646721,,,1
OPUS Prodox,Sverige,Mid Cap,Produktion,OPUS,SE0001696683,2282.942,7.9,-0.01863355,0.09722226,0.1205674,-0.02469139,0.1449275,0.9700747,-0.4296029,4.798591,24.2629,22.87324,25.6922,1.317879,1.102149,1.216911,198.7587,79.63936,78.37959,0.05248618,-0.02360082,0.03082728,12/05/2017,,
OraSolv,Sverige,Aktietorget,Sjukvård,OS,SE0001183732,69.84934,0.37,-0.04884318,0,-0.04884318,-0.09313723,-0.02887141,0.5352697,0.1212121,0.05714289,35.23809,25.29638,22.34192,0.6258901,0.5704734,0.5956048,-5.772673,-7.487611,-6.549284,0.03805673,-0.0391953,-0.02618849,27/04/2017,,
Orexo,Sverige,Mid Cap,Läkemedel,ORX,SE0000736415,944.0613,27.3,-0.02846979,-0.01798561,-0.02846979,-0.1625767,-0.2177651,-0.4166667,-0.727,0.2522936,32.66722,7.325085,24.25063,1.383645,2.319788,2.956361,6.047798,-13.77877,-7.657063,0.008384943,-0.07527453,-0.2479776,20/04/2017,,1
Orezone,Sverige,Aktietorget,Gruv & Metall,ORE,SE0006452546,21.27542,0.357,-0.05804753,-0.06052632,-0.1075,-0.3067961,-0.405,-0.3327104,,,-8.341122,-16.95041,-11.30027,262.6595,262.6595,262.6595,-6.35087,-10.71562,-7.143748,-0.03460699,-0.2054236,-0.2234862,,,1
OrganoClick,Sverige,First North,Produktion,ORGC,SE0006510335,445.2175,6.5,-0.0151515,-0.0151515,0.07438013,-0.09722219,-0.05797103,0,,,-15.34466,-16.10369,-17.45222,8.716595,11.09719,11.33785,-10.82227,-14.12294,-11.399,0.03445554,-0.01903653,-0.01774591,10/05/2017,,
Oriflame,Sverige,Mid Cap,Konsumentprodukter,ORI,CH0256424794,18550.27,332.8,-0.03002045,-0.06464306,-0.06726458,-0.03086781,0.3650533,0.9270411,0.9868656,0.4693156,25.72526,24.43691,22.3406,1.508817,1.087341,1.055889,25.30815,14.38157,15.05677,-0.04276359,0.02383733,0.1791869,10/05/2017,,3
Oriola-KD B,Finland,Mid Cap,Läkemedel,OKDBV,FI0009014351,670.9576,3.78,-0.01562499,-0.01305482,-0.07804877,-0.04545457,-0.1105882,-0.09134613,0.7199017,1.189527,16.49215,16.52471,16.17075,0.4089708,0.4366076,0.4181335,-25.70719,350.556,-11.2672,-0.01738125,-0.02999109,-0.04325986,28/04/2017,,
