"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Aktiekurs";"Börsvärde";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"P/E";"P/E";"P/E";"P/S";"P/S";"P/S";"P/FCF";"P/FCF";"P/FCF";"Medelvärde";"Medelvärde";"Medelvärde";"Info";"N. Rapport";"Graham"
"";"Land";"Lista";"Bransch";"Ticker";"ISIN";"Senaste";"Senaste";"Utveck.  1d";"Utveck.  1v";"Utveck.  1m";"Utveck.  3m";"Utveck.  6m";"Utveck.  1 år";"Utveck.  3 år";"Utveck.  5 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"MA(5)/MA(20)";"MA(20)/MA(70)";"MA(50)/MA(200)";"N. Rapport";"Antal dagar";"Poäng"
"Cherry";"Sverige";"Aktietorget";"Betting & Spel";"CHER B";"SE0005191426";298;5143.778;0.006756757;-0.006666667;-0.04487179;0.01360544;0.5684211;0.8006042;7.186813;11.06478;8.311184;26.48815;-437.1503;3.508477;2.730418;2.758653;-27.01564;10.28383;-27.91213;-0.03836244;0.001683831;0.3118565;"2017-05-10";"";2
"Chordate Medical";"Sverige";"NGM";"Läkemedel";"CMH MTF";"SE0009495559";9.4;"";0;-0.1296297;-0.1607143;"";"";"";"";"";"";"";"";"";"";"";"";"";"";-0.06330317;-0.075647;-0.004637659;"";"";2
"Chr Hansen";"Denmark";"Large Cap";"Bioteknik";"CHR";"DK0060227585";459.7;60532.84;0.009885764;-0.005193668;0.03303374;0.08907843;0.1860165;0.1286522;0.9331371;1.862391;39.67651;39.30986;39.50986;8.096987;7.743753;7.732309;76.18995;4494.643;6121.176;-0.004759312;0.05080378;0.08142126;"2017-04-06";"";1
"Christian Berner Tech";"Sverige";"First North";"Produktion";"CBTT B";"SE0006143129";18.9;354.5451;0.01069513;-0.005263178;0.01612899;-0.1;-0.112676;0.26;"";"";23.77957;16.33875;17.60048;0.8038423;0.7280304;0.7103012;159.705;37.91829;37.47751;0.003992558;-0.026972;-0.02767557;"2017-04-24";"";1
"ChromoGenics";"Sverige";"First North";"Byggprodukter";"CHRO";"SE0009496268";7;"";0.007194272;-0.01408449;0.01449274;"";"";"";"";"";"";"";"";"";"";"";"";"";"";-0.05360198;0.02269554;"";"";"";2
"Cinnober";"Sverige";"First North";"IT-Tjänster";"CINN";"SE0000778474";285;2130.945;0.007067138;-0.01554404;0.09615385;0.09826589;0.5405405;1.095588;"";"";-3364.817;-681.9211;-1057.514;5.84091;3.148749;3.334564;-129.6432;494.4839;10.76165;0.04786801;0.04380858;0.2574891;"2017-05-04";"";1
"Clas Ohlson";"Sverige";"Mid Cap";"Återförsäljare";"CLAS B";"SE0000584948";151;9522.966;0.01342282;-0.006578947;0.006666667;0.1062271;0.1682785;-0.09036145;0.05226481;0.6324325;27.0619;25.79562;23.76583;1.202546;1.194624;1.219169;32.77001;37.48259;24.73908;0.005093932;0.05096543;0.05589902;"";"";4
"Clavister";"Sverige";"First North";"Kommunikation";"CLAV";"SE0005308558";40.9;844.2578;0;-0.03764702;-0.05977008;-0.2096618;-0.1479166;-0.1803607;"";"";-15.11065;-14.31369;-13.03941;10.91788;10.03232;9.017296;-11.45906;-11.09138;-9.516135;-0.03252792;-0.08006102;-0.04493797;"";"";1
"Clean Motion";"Sverige";"First North";"Produktion";"CLEMO";"SE0008216303";13.2;184.3116;-0.03296702;-0.007518826;0.05599998;0.0731707;0.0352941;"";"";"";-28.50972;-14.25486;-9.50324;39.90292;19.95146;13.30097;-10.38317;-5.191584;-3.461056;0.008428574;0.07436895;-0.04163557;"2017-05-15";"";1
"Cline Scientific";"Sverige";"Aktietorget";"Läkemedel";"CLINE B";"SE0006758231";8.95;67.125;-0.005555577;0.03468211;0.05294115;0.05294115;-0.05789476;-0.0677084;"";"";-23.68978;-34.43525;-22.95683;64.66763;93.34395;62.2293;-22.07333;-29.20115;-19.46743;0.00344038;-0.002451301;-0.0537284;"2017-05-12";"";1
"Clinical Laserthermia";"Sverige";"First North";"Sjukvård";"CLS B";"SE0002756130";10.85;257.0582;-0.05652171;-0.004587086;0.1185568;0.1793479;-0.009132368;-0.05652171;-0.2125756;0.7354169;-9.5393;-14.29024;-14.91521;70.38834;1366.108;593.2759;-12.26481;-14.48777;-15.65928;0.0838958;0.03655577;-0.02937913;"2017-05-18";"";""
"Cloetta";"Sverige";"Mid Cap";"Livsmedel";"CLA B";"SE0002626861";36.6;10473.57;0;-0.03430087;0.02808989;0.1656051;0.2240802;0.3555555;0.6194689;1.541667;-59.5122;-15.82708;-27.91638;1.793112;1.469324;1.49103;22.14285;15.97464;16.52061;0.01734746;0.04731059;0.1293695;"2017-04-21";"";1
"CloudRepublic";"Sverige";"NGM";"IT-Tjänster";"CLDR MTF B";"SE0009805401";17.4;"";-0.01136368;0.02352939;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.02490151;"";"";"";"";2
"CLX Communications";"Sverige";"Mid Cap";"Kommunikation";"CLX";"SE0007439112";124;3951.26;-0.02362205;-0.02745098;0.05307855;0.2307692;0.6870748;0.7342657;"";"";94.98277;58.56348;47.1931;3.613076;2.818927;2.149705;-114.8622;16.84392;-28.58143;0.04477608;0.0512749;0.2629319;"2017-05-19";0;1
"Cognosec";"Sverige";"First North";"IT-Tjänster";"COGS";"SE0007604061";0.26;63.908;0;-0.03703711;-0.2352941;-0.1034483;-0.2097265;"";"";"";-4.980843;-1.245211;"";0.4520834;0.1130208;"";-3.215448;-0.8038621;"";-0.1261172;-0.04670244;0.05062854;"2017-04-28";"";2
"Coloplast";"Denmark";"Large Cap";"Sjukvård";"COLO B";"DK0060448595";546.5;115503.9;0.007373272;0;-0.0353045;0.1100955;0.2440246;0.1107724;0.1702355;1.671065;35.22534;46.20995;62.08908;7.66907;7.338828;7.481285;195.438;104.3316;91.9086;-0.02418518;0.05251729;0.08950054;"2017-05-03";"";1
"Columbus";"Denmark";"Small Cap";"IT-Tjänster";"COLUM";"DK0010268366";14.3;"";0;0.00704228;0.07518797;-0.04026842;0.254386;0.7875;1.508772;9.287769;"";"";"";"";"";"";"";"";"";0.01088095;-0.01642334;0.1313957;"2017-04-25";"";2
"Com Hem";"Sverige";"Large Cap";"Telekommunikationstjänster";"COMH";"SE0005999778";117.7;21675.28;0.01553059;-0.007588546;0.1103773;0.2356955;0.4557823;0.6519298;"";"";63.37839;59.20695;88.20947;3.526729;2.831818;2.971466;-314.1345;-159.5496;-193.4777;0.03155494;0.09134876;0.1968067;"2017-04-25";"";1
"CombiGene";"Sverige";"Aktietorget";"Läkemedel";"COMBI";"SE0006504593";2.22;26.19822;-0.01333332;-0.008928563;-0.09016395;-0.4111406;-0.6172414;-0.6805755;"";"";-3.017945;-12.82284;-8.54856;"";"";"";-2.793285;-12.02354;-8.015695;-0.02561879;-0.2073848;-0.371791;"2017-05-18";"";1
"Community Entertainment";"Sverige";"Aktietorget";"Betting & Spel";"CEAB";"SE0007158902";3.16;5.78912;0;-0.03658533;-0.04531718;-0.4037736;-0.09714283;-0.3803921;-0.605;-0.7366666;-2.04491;-10.76232;-10.2286;3.338593;8.148987;9.709689;-3.595727;-11.0611;-13.41249;-0.03995216;-0.1329144;-0.1043206;"";"";""
"Compare-IT";"Sverige";"Aktietorget";"Programvara & Internet";"COMPIT";"SE0009606593";4.79;"";0.02132194;-0.0607843;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-0.04169064;"";"";"";"";2
"Componenta";"Finland";"Small Cap";"Tjänster & Leverans";"CTH1V";"FI0009010110";0.178;22.40201;-0.01111113;0.09876545;0.2108844;0.2191781;0.6181818;-0.644;-0.910101;-0.9452308;-0.1085432;-1.94558;-1.199214;0.1207656;0.181635;0.1459477;-20.36547;-8.42706;-9.221622;0.06008327;0.07716954;-0.1265492;"2017-05-16";"";1
"Comptel";"Finland";"Mid Cap";"Kommunikation";"CTL1V";"FI0009008221";3.04;329.5208;0;0;-0.003278686;0;0.3818181;0.9869281;3.903226;4.960784;28.27907;25.01155;25.23774;3.293956;1.662664;1.912668;41.22617;-42.50733;9.559005;-0.0009858608;0.001834273;0.1786581;"2017-04-21";"";1
"Computer Innovation";"Sverige";"NGM";"IT-Tjänster";"COMP MTF";"SE0006424867";0.7;109.312;0.1475409;0.0769231;0.2068966;-0.2307693;-0.125;"";"";"";-200;-200;"";39.67768;39.67768;"";-16.08712;-16.08712;"";0.01759994;-0.1445889;-0.05518823;"";"";2
"Concentric";"Sverige";"Mid Cap";"Produktion";"COIC";"SE0003950864";139;5626.998;-0.01940035;-0.08250825;0;0.1031746;0.2438479;0.4111675;0.4670185;1.562212;21.64233;17.91588;18.22551;2.769192;2.169177;2.24628;13.72439;11.141;12.48059;-0.02139944;0.06832552;0.1640964;"2017-05-03";"";1
"Concordia Maritime";"Sverige";"Small Cap";"Olja & Gas";"CCOR B";"SE0000102824";13.5;644.3415;0.02272729;-0.01098898;-0.03571428;-0.007352969;-0.02527078;-0.1768292;-0.03914592;0.173913;-126.4045;-24.72742;-36.72563;0.6446638;0.7976128;0.8104945;0.5724427;4.41848;-2.897949;-0.00515461;-0.01030713;-0.04406953;"2017-04-25";"";3
"Confidence";"Sverige";"First North";"IT-Tjänster";"CONF";"SE0000325839";0.98;58.09146;-0.01507536;0.1073447;0.1264368;-0.09259261;-0.216;0.3066667;-0.4759358;-0.8078431;43.36283;22.50622;32.19966;0.4598281;0.4424297;0.4168486;55.063;48.49332;22.87708;0.08923745;-0.04970628;-0.1611416;"2017-05-18";"";""
"Consilium";"Sverige";"Small Cap";"Produktion";"CONS B";"SE0000236382";81.75;956.6385;-0.00909091;-0.03254438;-0.003048781;-0.2139423;-0.1185984;-0.2430556;1.983577;5.011029;16.13222;17.36047;16.58225;0.5760106;0.6518161;0.6244409;-6.917126;-9.970952;-7.107105;-0.01695925;-0.03739613;-0.08183395;"2017-05-19";0;3
"Consti Yhtiöt";"Finland";"Small Cap";"Byggnation";"CONSTI";"FI4000178256";14.6;114.7268;0.003436439;-0.04262292;-0.00882547;-0.051948;-0.051948;0.2575367;"";"";14.2134;14.52426;16.87561;0.4275443;0.3825248;0.3731756;38.94324;19.60106;20.08673;-0.02227175;0.02138889;-0.02022785;"2017-05-04";"";""
"ContextVision";"Norge";"OB Match";"Sjukvård";"COV";"SE0000371239";58.25;450.6802;-0.004273504;0;0;0.2135417;0.2420042;1.072954;2.80719;3.854167;2001.718;554.9247;704.8886;6.116243;4.085555;4.240584;188.0577;84.84234;91.45346;-0.01417392;-0.009299517;0.2230306;"2017-04-27";"";1
"Coor Service Management";"Sverige";"Mid Cap";"Tjänster & Leverans";"COOR";"SE0007158829";57.75;5533.143;0.004347826;-0.07228915;0.01315789;0.0221239;0.155;0.5277779;"";"";38.96761;33.27821;28.58741;0.7184034;0.5717577;0.5285458;13.86753;11.30736;25.74683;0.01950693;0.03476131;0.05710042;"2017-05-04";"";1
"Copenhagen Network";"Denmark";"Small Cap";"IT-Tjänster";"CPHNW";"DK0060055515";0.06;"";-0.04761909;-0.07692306;-0.5348837;-0.6202532;-0.4174757;-0.9142857;"";"";"";"";"";"";"";"";"";"";"";-0.3059867;-0.2618658;-0.06320012;"";"";2
"Copperstone";"Sverige";"First North";"Gruv & Metall";"COPP B";"SE0001915190";1.32;237.4139;0.05600004;0.08196723;0.1186442;0.8333334;1.693878;3.765343;1.275862;-0.7343423;-15.5477;-38.52165;-12.00537;34.86254;14.67201;17.55725;-9.860199;-6.172669;-6.604609;0.0009852648;0.3343223;0.6213026;"2017-05-16";"";1
"Corline Biomedical";"Sverige";"First North";"Läkemedel";"CLBIO";"SE0006887451";9.95;126.7928;0.05851066;0.06417106;0.0310881;-0.08715595;0.2208589;0.2838709;"";"";-19.5098;-21.84331;-21.04768;10.81481;14.82121;19.77031;-15.94077;-11.12545;-12.51872;0.003141284;-0.06379104;0.02643132;"2017-05-18";"";""
"Cortus Energy";"Sverige";"First North";"Olja & Gas";"CE";"SE0001296542";1.13;228.9651;0.05607471;-0.1102362;0.2282608;0.5374149;1.036036;1.839196;-0.7247998;-0.9482899;-11.88223;-6.967309;-6.954162;28.86236;15.99866;25.27388;308.5783;78.73975;107.9581;0.05998552;0.2290416;0.2025158;"2017-05-03";"";""
"C-RAD";"Sverige";"Small Cap";"Sjukvård";"CRAD B";"SE0002016352";17.9;528.6049;0.005617999;-0.05291006;0.3018182;0.1474358;0.5299145;1.182927;0.01129937;0.08217903;-18.55692;-12.24753;-15.60143;5.512445;4.442171;4.770116;-12.82679;-8.972072;-10.8945;0.07682991;0.08893288;0.197094;"2017-04-28";"";1
"Cramo";"Finland";"Mid Cap";"Tjänster & Leverans";"CRA1V";"FI0009900476";25.67;1140.724;0.02189487;0.01102799;0.157871;0.222381;0.07857147;0.3596399;0.6955086;1.748394;16.63642;19.07889;23.03206;1.563309;1.129597;1.177904;155.794;64.79511;27.4229;0.02013314;0.1167145;-0.009959102;"";"";""
"Crowdsoft";"Sverige";"Aktietorget";"IT-Tjänster";"CROWD";"SE0005937117";0.152;32.7519;-0.01935488;-0.04402515;-0.1957672;-0.2761905;-0.6092545;"";"";"";-2.814815;-2.814815;"";5.988644;5.988644;"";-2.359987;-2.359987;"";-0.02188385;-0.1840063;-0.3922924;"2017-05-18";"";2
"Crown Energy";"Sverige";"NGM";"Olja & Gas";"CRWN";"SE0004210854";2.88;1313.133;0;0.01052639;0.1294118;0.2743363;0.4048781;0.6647399;-0.7061225;-0.6631579;-523.6364;-161.2873;-198.9847;"";"";"";-51.92096;-21.73575;-21.61408;0.03580475;0.1517406;0.07894683;"2017-05-12";"";1
"Crunchfish";"Sverige";"First North";"Elektronisk utrustning";"CFISH";"SE0009190192";15.5;"";0.03333333;-0.03125;0.1397059;-0.06060606;-0.5520231;"";"";"";"";"";"";"";"";"";"";"";"";-0.02058917;0.0192796;-0.249502;"2017-05-18";"";2
"CTT Systems";"Sverige";"Small Cap";"Produktion";"CTT";"SE0000418923";158;1979.582;0.003174603;-0.03067485;-0.003154574;0.1791045;0.6205128;1.349442;6.214612;3.364641;47.58749;30.60263;32.49715;7.277875;4.324106;4.507751;37.28026;29.94305;35.87868;-0.01370698;0.0961864;0.360809;"2017-05-05";"";1
"Cxense";"Norge";"OB Standard";"IT-Tjänster";"CXENSE";"NO0010671068";92.75;736.9915;0.01089918;0.01089918;-0.1490826;-0.2550201;-0.3711864;-0.2973485;"";"";-9.969581;-6.613719;-6.385643;3.352654;3.318794;3.286961;-7.453853;-4.843159;-5.064898;-0.06692064;-0.08917416;-0.2377657;"2017-05-10";"";1
"CybAero";"Sverige";"First North";"Produktion";"CBA";"SE0005188711";1.13;41.31732;-0.02586205;0.05607471;-0.1102362;-0.5425102;-0.6575758;-0.8822916;-0.9638978;-0.8461224;-0.4525431;-6.925734;-6.235449;5.230702;16.16226;14.75366;-0.4605449;-4.793498;-3.417457;-0.1766402;-0.1884821;-0.6065294;"";"";2
"Cyxone";"Sverige";"First North";"Läkemedel";"CYXO";"SE0007815428";5.7;73.6725;-0.008695685;-0.03389835;-0.04201681;-0.1555556;-0.2919255;"";"";"";-18.42275;"";"";"";"";"";-15.03214;"";"";-0.02297878;-0.05709046;-0.06678867;"2017-05-16";"";3
"DalsSpira Mejeri";"Sverige";"Aktietorget";"Livsmedel";"SPIRA";"SE0007640297";10.55;29.67715;0.009569415;0.04975124;-0.02314815;-0.04090907;-0.1884615;0.1405406;"";"";-6.522814;-6.522814;"";2.121918;2.121918;"";-1.986156;-1.986156;"";-0.006048858;-0.0332486;-0.1340495;"2017-05-08";"";2
"Dantax";"Denmark";"Small Cap";"Konsument";"DANT";"DK0015205637";230;0.23;-0.03157895;-0.03157895;0.1219512;0.2299465;0.3690476;0.3690476;1.395833;1.12963;"";"";"";"";"";"";"";"";"";0.09158193;0.07003212;0.1068448;"";"";2
"Data Respons";"Norge";"OB Match";"Elektronisk utrustning";"DAT";"NO0003064107";27.5;1345.85;0;-0.0143369;0.1702128;0.1956522;0.4550265;1.412281;1.619048;2.716216;18.13865;15.36294;16.03703;1.235405;0.790211;0.8576543;-35.23167;-23.24531;-24.61686;0.04926658;0.1053507;0.2304665;"2017-04-27";"";""
"Dedicare";"Sverige";"Small Cap";"Bemanning";"DEDI";"SE0003909282";127;1143.762;0.03462322;-0.01550388;-0.1118881;-0.03787879;0.5776398;2.031026;5.076555;3.163934;17.48878;13.02525;11.25374;1.596541;0.9968055;1.012278;23.87812;16.51502;15.9377;-0.05761313;-0.01154286;0.4859528;"2017-04-24";"";1
"Deep Sea Supply";"Norge";"OB Match";"Tjänster & Leverans";"DESSC";"CY0100120910";1.2;315.4152;0.01694924;0.01694924;-0.01639343;-0.1240876;-0.02439022;0.263158;-0.8699892;-0.8873239;-0.1907275;-0.4837588;-88.49741;0.5543137;0.6778857;0.9412947;1.731451;1.489364;0.8487978;-0.01696324;-0.04412425;-0.1044383;"";"";2
"Deflamo";"Sverige";"First North";"Produktion";"DEFL B";"SE0007045406";0.85;16.7076;0;0.06250001;-0.06593407;-0.4097222;-0.4720497;-0.4551282;-0.9166903;-0.9199231;-1.100324;-2.562722;-2.688834;3.587631;12.22741;22.43472;-0.9078244;-2.046072;-2.483673;-0.006002367;-0.2965376;-0.2931398;"2017-04-27";"";""
"Detection";"Finland";"First North";"Elektronisk utrustning";"DETEC";"FI4000115464";16;214.816;-0.0006246239;-0.01173567;0.03359176;0.1004127;0.2139605;1.043423;"";"";19.7263;36.85141;31.25046;2.842083;1.961908;1.482643;56.53053;-10.95017;8.161546;-0.01780826;0.07494795;0.1126386;"";"";1
"DexTech Medical";"Sverige";"Aktietorget";"Läkemedel";"DEX";"SE0005881489";27.4;396.1218;0;-0.003636377;0.06614781;-0.0486111;0.0148148;-0.1941177;"";"";-51.3397;-63.19721;-72.00579;41.9754;47.67631;53.19035;-36.55272;-44.65775;-56.5028;0.03118503;0.008577943;-0.05663353;"2017-04-27";"";1
"DFDS";"Denmark";"Large Cap";"Tjänster & Leverans";"DFDS";"DK0060655629";363.6;0.3636;0.02278483;-0.02415459;-0.08849332;-0.04866563;0.2325424;0.1561208;3.193772;4.663552;"";"";"";"";"";"";"";"";"";-0.06852216;0.001300573;0.121721;"2017-05-10";"";2
"DGC One";"Sverige";"Small Cap";"Telekommunikationstjänster";"DGC";"SE0002571539";138.25;1241.07;-0.005395683;-0.003603603;0.02979516;-0.001805054;0.04734848;0.06756756;0.1037924;1.323529;22.82558;22.70898;22.89706;1.71724;1.674093;1.706229;-13.49973;45.19223;6.113071;-0.002760172;0.008867383;0.0250988;"2017-04-27";"";3
"Diadrom";"Sverige";"First North";"IT-Tjänster";"DIAH";"SE0001606906";14.1;102.6762;-0.05685615;0.01438854;0.128;0.007142884;0.226087;0.3428572;-0.07843136;0.2818182;15.71556;16.09204;17.72956;2.006257;1.777392;1.89365;24.825;17.25651;19.73725;0.01980031;0.04202104;0.1125871;"2017-04-21";"";3
"Diamyd Medical";"Sverige";"First North";"Bioteknik";"DMYD B";"SE0005162880";4.59;135.3683;0.06004624;0.150376;-0.1173076;-0.3395683;-0.3347826;-0.04771784;0.3039773;"";"";-4.906752;-7.00854;0.2989602;145.0686;148.3818;-1.551641;-8.304005;-10.28814;-0.07616502;-0.1410337;-0.1846297;"2017-04-05";"";2
"Digia";"Finland";"Small Cap";"IT-Tjänster";"DIG1V";"FI0009007983";2.74;57.20024;0.0110701;-0.01792113;-0.01438848;-0.08361204;-0.08361204;-0.154321;-0.2956299;0.1679455;14.08016;19.32994;20.18969;0.6559209;0.9037781;0.7922254;-86.27487;11.5801;13.60639;0.007543683;-0.0477323;-0.08999318;"";"";1
"Dignita Systems";"Sverige";"Aktietorget";"Konsument";"DIGS";"SE0008347769";11.1;37.185;0;0;0.4322581;0.3875;0.3703704;"";"";"";-4.233409;-6.133144;-2.773952;2.14113;1.735668;1.285821;"";-3.112424;-1.556212;0.2074033;0.05031455;0.09760451;"2017-05-10";"";1
"Dignitana";"Sverige";"First North";"Läkemedel";"DIGN";"SE0002108001";13.9;261.3756;-0.007142884;-0.01418445;-0.0974026;-0.172619;-0.1965318;-0.2362638;-0.04467358;-0.444;-8.100233;-14.24189;-12.26829;28.65646;43.19648;26.42869;-7.795276;-12.14932;-11.11344;-0.01624453;-0.04723978;-0.127216;"";"";1
"DistIT";"Sverige";"First North";"Handel & Distribution";"DIST";"SE0003883800";65.25;801.4005;0.003846154;-0.03333333;-0.007604563;0.202765;0.3707984;0.2794118;0.9893293;3.408784;1.900858;4.010378;5.293384;0.5175;0.4421418;0.4312478;-11.63136;-17.20716;-14.88567;-0.04942548;0.1123638;0.1729794;"2017-05-03";"";3
"DLH";"Denmark";"Small Cap";"Skog";"DLH";"DK0060038933";1.99;"";0.02577317;-0.02926826;0.3916085;0.6864407;1.020305;3.11157;-0.5626374;-0.5896907;"";"";"";"";"";"";"";"";"";-0.0005189776;0.3075806;0.4381801;"";"";2
"DNA";"Finland";"Large Cap";"Telekommunikationstjänster";"DNA";"FI4000062385";11.91;1575.741;-0.004180618;-0.005843046;0.04017467;0.02231762;"";"";"";"";23.0993;10.88846;14.51795;1.802845;0.8371754;1.116234;24.37303;10.08686;13.44915;0.03473783;0.003822446;0.03172576;"2017-04-21";"";""
"DNO";"Norge";"OBX";"Olja & Gas";"DNO";"NO0003921009";8.2;8390.888;0.01485147;0.05806449;0.1310345;0.07189538;0.08681242;-0.03187727;-0.6119261;0.01234561;-62.69113;-26.29752;-31.32628;4.28413;4.218083;5.39416;9.353389;13.67136;10.58264;0.06011152;0.01167178;-0.0756669;"";"";2
"DOF";"Norge";"OB Match";"Tjänster & Leverans";"DOF";"NO0010070063";0.88;1321.162;0;-0.01123594;-0.07368421;-0.1698113;0.07317074;-0.7899761;-0.9704698;-0.9755556;-1.850683;-3.671703;8.769279;0.743061;0.1953656;0.3645309;-1.876651;-0.6222214;6.398367;-0.01653802;-0.07985502;-0.03375828;"2017-05-12";"";1
"Dome Energy";"Sverige";"First North";"Olja & Gas";"DOME";"SE0000548281";0.49;16.85698;0.004098369;-0.05769226;-0.1967213;-0.4367816;-0.5916667;-0.804;-0.9604838;-0.8366666;0.2668845;0.4591225;2.668467;0.3957781;3.965289;2.922718;0.4966993;2.399931;-1.638481;-0.008924127;-0.1748694;-0.5104065;"";"";1
"Dometic";"Sverige";"Large Cap";"Konsument";"DOM";"SE0007691613";69.65;20602.47;0.02426473;-0.004288713;0.08913215;0.01088534;0.06498471;0.2826888;"";"";15.11567;12.56137;14.45596;1.605554;1.458903;1.467412;16.87344;13.61924;12.7605;0.01483381;0.01524007;0.006377101;"2017-04-24";"";3
"DONG Energy";"Denmark";"Large Cap";"Energiproducenter";"DENERG";"DK0060094928";277.9;116086.1;0.01054543;-0.01173548;0.01017807;0.08006221;0.1107114;"";"";"";-32.06822;-8.017056;-10.68941;1.512167;0.3780418;0.5040557;14.03022;3.507555;4.676741;0.01583135;0.03511;0.02483356;"2017-04-27";"";1
"Doro";"Sverige";"Small Cap";"Elektronisk utrustning";"DORO";"SE0000215493";57.5;1336.185;0;-0.01709402;0.02678571;0.1057692;0.04072398;-0.07630523;0.5333333;1.26378;34.97992;30.72747;32.89891;0.6686274;0.7007865;0.6700852;35.34881;4.103387;-4.715161;-0.007904291;0.04767239;0.02366769;"2017-04-27";"";1
"Double Bond Pharma";"Sverige";"Aktietorget";"Läkemedel";"DBP B";"SE0007185525";4.71;80.27253;0.004264388;-0.05799999;-0.1513514;-0.3271429;-0.1808696;1.030172;"";"";-8.115093;-12.86584;-13.06636;"";"";"";"";-16.4433;-69.98257;-0.02014512;-0.1474556;-0.1906013;"2017-05-05";"";1
"Dovre";"Finland";"Small Cap";"Tjänster & Leverans";"DOV1V";"FI0009008098";0.28;27.96304;0.0181818;-0.01060067;0;-0.0666667;0.02564102;-0.09385109;-0.4166666;-0.2;-16.76647;-18.03831;27.446;0.3329409;0.3315524;0.3499893;114.1349;17.02757;61.44764;-0.01338971;-0.01311475;-0.02531254;"";"";2
"Doxa";"Sverige";"First North";"Sjukvård";"DOXA";"SE0005624756";2.61;83.79405;0.09663855;0.1704035;0.09663855;-0.02247198;-0.08741259;-0.1607717;-0.13;"";-7.981651;-7.316907;-6.965235;3.897398;4.857743;4.255727;-7.161885;-7.155474;-6.089858;0.0291431;-0.06793696;-0.1466388;"2017-05-11";"";""
"Drillcon";"Sverige";"First North";"Gruv & Metall";"DRIL";"SE0001770702";5.7;254.22;-0.05000003;-0.02564104;0.09615385;0.2837837;0.4652955;0.8446602;0.7220544;0.3701923;15.66364;-86.33746;-1.179485;0.9219655;0.651966;0.6944771;21.71521;9.015146;13.61569;0.07220221;0.1091726;0.2070061;"2017-05-11";"";2
"DS Norden";"Denmark";"Mid Cap";"Tjänster & Leverans";"DNORD";"DK0060083210";117.1;0.1171;-0.001705069;-0.01181436;-0.1408658;-0.102682;0.06551407;0.1721721;-0.4553488;-0.2219269;"";"";"";"";"";"";"";"";"";-0.06291533;-0.06572729;0.174657;"2017-05-03";"";2
"DSV";"Denmark";"Large Cap";"Tjänster & Leverans";"DSV";"DK0060079531";394.7;72994.63;0.01595885;0.0201603;0.08107369;0.1348477;0.2752827;0.3384199;1.265787;2.330802;34.69341;31.75682;28.59766;1.033172;0.8662875;0.8673742;47.95968;-0.4961777;16.18081;0.003289342;0.06275141;0.1015539;"2017-05-02";"";3
"Duni";"Sverige";"Mid Cap";"Konsument";"DUNI";"SE0000616716";121.25;5698.629;-0.002057613;0.01464435;-0.08834586;-0.06007752;0.06359649;0.08744394;0.1492891;1.287736;17.01086;17.3083;17.14839;1.32035;1.356999;1.364675;74.00816;41.20782;42.01408;-0.01511437;-0.04131585;0.01786184;"2017-04-25";"";4
"Duroc";"Sverige";"Small Cap";"Produktion";"DURC B";"SE0000331266";29.4;1146.6;0;-0.006756783;0.006849276;0.225;0.8607594;1.177778;1.491525;1.055944;90.29484;16.5674;32.04056;1.259723;0.5104492;0.5910583;10.62651;14.49663;15.15984;-0.0253576;0.1194178;0.4232723;"2017-04-21";"";1
"Dustin Group";"Sverige";"Mid Cap";"Konsumentprodukter";"DUST";"SE0006625471";70.25;5351.153;-0.003546099;-0.02430556;-0.007067138;0.04850746;0.1659751;0.2008547;"";"";24.58099;21.65622;26.42484;0.6131581;0.5705852;0.5676408;22.27791;12.64466;1.102147;-0.01244813;0.0495646;0.08482372;"2017-04-05";"";1
"EAM Solar";"Norge";"Oslo Axess";"Energiproducenter";"EAM";"NO0010607781";25.5;129.285;0.003937023;-0.007782131;-0.203125;-0.32;-0.2455621;0.1590909;-0.6909091;"";-0.7722124;-7.263173;-10.92345;3.190465;2.007881;3.38968;-1.270423;-5.779297;-13.18005;-0.09310585;-0.153102;-0.08033907;"";"";1
"EasyFill";"Sverige";"Aktietorget";"Handel & Distribution";"EASY B";"SE0002039222";9.45;552.3809;0.005319169;-0.06435649;-0.15625;-0.05025126;-0.3176896;0.08620689;1.669491;"";92.46575;-91.95245;-52.09337;12.16591;9.108871;7.233381;-39.41917;-28.50584;-59.15464;-0.08671361;-0.05113268;-0.1363327;"";"";1
"EatGood";"Sverige";"Aktietorget";"Hotell, restaurang & nöje";"EATG";"SE0009548597";3.5;25.8685;-0.04109592;-0.03846157;-0.1071429;"";"";"";"";"";-8.202484;-4.101242;-2.734161;11.87718;5.938591;3.95906;-9.888571;-4.944285;-3.29619;-0.001094103;-0.05433261;"";"";"";""
