Info.ISIN,Info.CompanyDescription,Info.CompanyName,Info.Ticker,Info.Country,Info.List,Info.Industry,Stock.LatestPrice,Stock.Return.Act_3m,Valuation.MarketCap,Valuation.P_E.Latest,Valuation.P_E.Avg_1y,Valuation.P_E.Avg_3y,Valuation.P_S.Latest,Valuation.P_S.Avg_1y,Valuation.P_S.Avg_3y,Valuation.P_FCF.Latest,Valuation.P_FCF.Avg_1y,Valuation.P_FCF.Avg_3y,TA.MA5_MA20,TA.MA20_MA70,TA.MA50_MA200,Strat.Graham,Profitability.ROC,Profitability.GrossMargin,Profitability.EBITMargin,Profitability.NetMargin,BalanceSheet.DebtPerShare,Profitability.ROE,Profitability.CurrentRatio,Profitability.DividendRatio,BalanceSheet.EquityPerShare
SE0001920760,,A City Media,ACM,Sverige,First North,Media,130,-0.117147713899612,190.190002441406,29.0191497802734,18.9592990875244,18.6693992614746,1.81543099880218,1.61304903030395,1.49756300449371,38.1448097229003,394.130310058593,19.0422401428222,-0.0850967764854431,-0.00439304113388062,0.0853682681918144,,0.16847850382328,0.520002305507659,0.0918644890189171,0.0625602453947067,58.0499992370605,0.166789710521698,1.07619202136993,0.0192307699471712,39.2949981689453
SE0007158456,,A Group of Retail,AGORA B,Sverige,First North,Fastigheter,24.2000007629394,-0.0692307353019714,657.635009765625,6.71066522598266,7.47760915756225,8.65343189239501,1.87360405921936,2.0860149860382,3.23633599281311,-7.22675800323486,-6.88269281387329,-6.02699089050292,-0.0240795612335205,-0.00624364614486694,-0.0808529257774353,,0.0322504714131355,0.464387506246567,0.390313416719437,0.279202312231064,116.25926208496,0.0697508901357651,0.077244721353054,,52.0370368957519
SE0007186283,,A Group of Retail Pref,AGORA PREF,Sverige,First North,Fastigheter,254,-0.0078125,254,,,,,,,,,,0.000982880592346191,0.00615978240966797,-0.0355028510093689,,,,,,,,,0.078740157186985,
DK0010244508,,A.P. Moller Maersk B,MAERSK B,Denmark,Large Cap,Handel & Distribution,12670,0.0810580179095268,263384,-20.6269397735595,-18.5275192260742,4.65771293640136,1.08629405498504,0.893776297569274,0.964679479598999,20.3955402374267,89.6084976196289,22.329210281372,0.0272016525268555,0.0321037769317627,0.0825048610568047,3,,0.191547602415085,,-0.0526638701558113,9487.7998046875,-0.0585373602807522,0.594428718090057,0.0118389902636409,10607.2900390625
SE0009973357,,A1M Pharma,A1M,Sverige,Aktietorget,Sjukvård,10.3999996185302,-0.625899255275726,567.995971679687,-9.28157043457031,-7.00382614135742,-8.04678058624267,,,,-11.8614196777343,-7.50475215911865,-8.66924858093261,-0.18841689825058,-0.365120708942413,-0.538483500480651,,-4.98743391036987,,,,0.448074072599411,-4.17876386642456,,,0.271203696727753
DK0010247014,,Aalborg Boldspilklub,AAB,Denmark,Small Cap,"Hotell, restaurang & nöje",0.31700000166893,0.0566666312515736,,,,,,,,,,,-0.0186104774475098,0.0584373474121094,0.113819487392902,2,,,,,,,,,
DK0010263722,,Aarhus Elite,ELITE B,Denmark,Small Cap,"Hotell, restaurang & nöje",0.209999993443489,-0.0232558604329824,,,,,,,,,,,0.0497132539749146,0.0177925825119019,-0.12969446182251,2,,,,,,,,,
SE0001493776,"AAK är en leverantör av vegetabiliska oljor och fetter. Expertisen inom oljor och fetter i livsmedelsapplikationer, utbudet av olika råvaror samt den breda processkapaciteten möjliggör utveckling av lösningar inom många industrier, däribland konfektyr, bageri, mejeri, barnmat, kosmetik och foodservice. Produktutvecklingen sker i nära samarbete med kunderna. AAK har 19 olika produktionsanläggningar, försäljningskontor i fler än 25 länder.",AarhusKarlshamn,AAK,Sverige,Large Cap,Livsmedel,655,0.0781892985105515,27698.640625,26.5822505950927,25.4494800567626,24.9513893127441,1.15976405143737,1.15132200717926,1.12025105953216,-49.4618606567382,-27.4933795928955,-44.8905792236328,0.0133711099624634,0.0351855754852295,0.0221991539001465,5,0.141029998660088,0.250470995903015,0.0697148591279984,0.0436293594539165,233.738098144531,0.133077904582024,1.35337400436401,0.013358780182898,185.095245361328
NO0010672181,,Aasen Sparebank,AASB-ME,Norge,Merkur Market,Bank,124,-0.0387596897780895,49.599998474121,1.93206596374511,1.33191394805908,0.644021987915039,0.600738823413848,0.401416301727295,0.200246304273605,,,,0.0122449398040771,-0.0166284441947937,0.057938814163208,,0.012618069536984,0.562453806400299,0.437134385108948,0.310930818319321,,0.0898209661245346,,,
CH0012221716,"ABB är ett kraft- och automationsföretag verksamt i omkring hundra länder. Bolagets största marknad är Europa, som står för knappt hälften av omsättningen. Verksamheten är indelad i fem affärsområden:

Power Products: Nyckelkomponenter för överföring och distribution av elektricitet..
Power Systems: System och tjänster för kraftöverförings- och distributionsnät samt kraftanläggningar.
Discrete Automation and motion : Energieffektiva produkter för produktivitetsökning, som motorer, drivsystem, generatorer och industrirobotar. Slutkunder finns främst inom industrin samt energi- och byggnadssektorn.
Process Automation: Integrerade lösningar för styrning och optimering till kunder tillhörande energi-, kemi-, läkemedels- samt pappers- och massaindustrin.
Low Voltage Products: Produkter för att skydda människor, installationer och elektronisk utrustning från elektrisk överbelastning, som lågspänningsbrytare, strömbrytare, kablage, kapslingar och kabelsystem.",ABB,ABB,Sverige,Large Cap,Produktion,218.5,0.0570875853300095,467590,24.7577991485595,22.4406795501708,22.8631992340087,1.5936039686203,1.24974405765533,1.3480110168457,10.9711503982543,13.6295700073242,14.0046796798706,,0.0360088348388672,0.0632492303848267,3,0.163813799619675,0.288782507181168,0.0978915393352509,0.0643682107329369,106.107711791992,0.141295403242111,0.813377618789672,0.0309217404574156,60.2368698120117
