Info.ISIN,Info.CompanyDescription,Info.CompanyName,Info.Country,Info.Industry,Info.List,Info.Ticker,Stock.Price.Latest,Stock.Return.Actual_3m,Stock.MarketCap,Stock.NrShares.Latest,Stock.NrShares.Growth.Actual_1y,BalanceSheet.AssetTurnover.Latest,BalanceSheet.CurrentRatio.Latest,BalanceSheet.CurrentRatio.Growth.Actual_1y,BalanceSheet.DebtPerShare.Latest,BalanceSheet.Equity.Latest,BalanceSheet.Equity.Growth.Actual_1y,BalanceSheet.EquityPerShare.Latest,BalanceSheet.NetDebt.Latest,BalanceSheet.NetDebt.Growth.Actual_1y,BalanceSheet.TotalAssets.Latest,BalanceSheet.TotalAssets.Growth.Actual_1y,IncomeStatement.NetProfit.Growth.Actual_1q,IncomeStatement.NetProfit.Growth.Actual_1y,IncomeStatement.Revenue.Growth.Actual_1q,IncomeStatement.Revenue.Growth.Actual_1y,Profitability.CashFlowOperations.Latest,Profitability.CashFlowOperations.Growth.Actual_1y,Profitability.Dividend.Latest,Profitability.Dividend.Growth.Actual_1y,Profitability.DividendRatio.Latest,Profitability.ROAG.Latest,Profitability.ROAG.Growth.Actual_1y,Profitability.ROC.Latest,Profitability.ROC.Growth.Actual_1y,Profitability.ROE.Latest,Efficiency.EBITMargin.Latest,Efficiency.EBITMargin.Growth.Actual_1y,Efficiency.GrossMargin.Latest,Efficiency.GrossMargin.Growth.Actual_1y,Efficiency.NetProfitMargin.Latest,Efficiency.NetProfitMargin.Growth.Actual_1y,Insider.Net.Actual_1w,Insider.Net.Actual_1m,Insider.Net.Actual_3m,Insider.Net.Actual_12m,Strategy.GrahamScore,TA.MA20_MA70,TA.MA5_MA20,TA.MA50_MA200,Valuation.P_E.Latest,Valuation.P_E.Average.Actual_1y,Valuation.P_E.Average.Actual_3y,Valuation.P_FCF.Latest,Valuation.P_FCF.Average.Actual_1y,Valuation.P_FCF.Average.Actual_3y,Valuation.P_S.Latest,Valuation.P_S.Average.Actual_1y,Valuation.P_S.Average.Actual_3y
SE0001920760,,A City Media,Sverige,Media,First North,ACM,99.5,-0.134782612323761,145.567993164062,1.4630000591278,,0.996999979019165,1.04900002479553,0.187995478510857,64.3270034790039,38.261001586914,2.93996500968933,38.261001586914,0.0187299996614456,-0.847488045692443,102.588996887207,1.69793558120727,-0.710963428020477,-0.331771939992905,-0.0911487489938736,0.378664463758469,13.4849996566772,0.421119183301926,0.0251299999654293,-0.0156678408384323,0.0251299999654293,0.0826599970459938,-0.671475648880004,0.13561999797821,-0.848958671092987,0.126550003886223,0.0720800012350082,-0.524789035320281,0.57695996761322,0.023123849183321,0.0473599992692471,-0.515300393104553,,,-1.49989998340606,-1.49989998340606,,-0.13197922706604,0.0378612279891968,-0.184133470058441,30.0639991760253,21.8247509002685,19.0176696777343,99.0940017700195,434.045013427734,39.3586692810058,1.42400002479553,1.52174997329711,1.36699998378753
SE0007158456,,A Group of Retail,Sverige,Fastigheter,First North,AGORA B,25.5,0.0493827499449253,743.757995605468,29.1669998168945,,0.111000001430511,0.772000014781951,,107.931037902832,1416,,48.8275871276855,0.620680034160614,,4545,,-0.315789461135864,,2.01298713684082,,82,,,,,0.0202399995177984,,0.0481799989938736,,0.064970001578331,0.407109975814819,,0.458499997854233,,0.18181999027729,,,,,0.456999987363815,,-0.00470131635665894,0.0129033327102661,-0.0158988237380981,8.08399963378906,8.22066593170166,9.11133289337158,-4.42700004577636,-6.64666700363159,-5.09399986267089,1.47000002861022,2.03166699409484,3.10166692733764
SE0009973357,,A1M Pharma,Sverige,Sjukvård,Aktietorget,A1M,9.44999980926513,-0.108490616083145,76.2050018310546,8.0640001296997,1.95276463031768,,5.3140001296997,-0.201502621173859,0.816874980926513,61.8919982910156,-0.0346269048750401,7.73649978637695,-0.485260009765625,,68.427001953125,-0.0561793074011803,,,,,-68.1149978637695,,,,,-1.90759992599487,,-2.44625997543334,,-1.09979999065399,,,,,,,,,,0.0384999997913837,2,-0.0940701961517334,-0.0440375804901123,-0.508752942085266,-1.12000000476837,-4.80249977111816,-5.32633399963378,-1.05999994277954,-5.35974979400634,-5.06866693496704,,,
SE0001493776,"AAK är en leverantör av vegetabiliska oljor och fetter. Expertisen inom oljor och fetter i livsmedelsapplikationer, utbudet av olika råvaror samt den breda processkapaciteten möjliggör utveckling av lösningar inom många industrier, däribland konfektyr, bageri, mejeri, barnmat, kosmetik och foodservice. Produktutvecklingen sker i nära samarbete med kunderna. AAK har 19 olika produktionsanläggningar, försäljningskontor i fler än 25 länder.",AarhusKarlshamn,Sverige,Livsmedel,Large Cap,AAK,593.5,-0.0966514497995377,25097.9296875,42.2879981994628,,1.47800004482269,1.9759999513626,0.0635091513395309,234.785720825195,7270,0.08702152967453,173.095245361328,0.20634999871254,0.251895874738693,17194,0.20702001452446,0.137931033968925,0.119914628565311,0.300235033035278,0.239381670951843,472,-0.668306410312652,0.0147399995476007,0.100000001490116,0.0147399995476007,0.0705000013113022,-0.0947611704468727,0.148149996995926,-0.0427731461822987,0.146459996700287,0.0671200007200241,-0.0811772719025612,0.242719992995262,-0.0951724126935005,0.0422599986195564,-0.0962360948324203,,-2.43810009956359,-15.6625995635986,-15.6625995635986,5,-0.0344374775886536,0.0200543403625488,-0.0161775946617126,23.3689994812011,24.3002490997314,23.88032913208,-27.6709995269775,-57.2397499084472,-37.6269989013671,0.986999988555908,1.07299995422363,1.06266701221466
CH0012221716,"ABB är ett kraft- och automationsföretag verksamt i omkring hundra länder. Bolagets största marknad är Europa, som står för knappt hälften av omsättningen. Verksamheten är indelad i fem affärsområden:

Power Products: Nyckelkomponenter för överföring och distribution av elektricitet..
Power Systems: System och tjänster för kraftöverförings- och distributionsnät samt kraftanläggningar.
Discrete Automation and motion : Energieffektiva produkter för produktivitetsökning, som motorer, drivsystem, generatorer och industrirobotar. Slutkunder finns främst inom industrin samt energi- och byggnadssektorn.
Process Automation: Integrerade lösningar för styrning och optimering till kunder tillhörande energi-, kemi-, läkemedels- samt pappers- och massaindustrin.
Low Voltage Products: Produkter för att skydda människor, installationer och elektronisk utrustning från elektrisk överbelastning, som lågspänningsbrytare, strömbrytare, kablage, kapslingar och kabelsystem.",ABB,Sverige,Produktion,Large Cap,ABB,194.199996948242,-0.105893179774284,415588,2140,-0.0115473438054323,0.81300002336502,1.45299994945526,0.117692306637764,103.144950866699,111244.8984375,-0.109332539141178,51.9835968017578,0.09324000030756,0.119865484535694,335967.40625,-0.18547335267067,0.0861101821064949,0.209042504429817,-0.176508247852325,-0.136431157588959,29974.1796875,-0.25563257932663,0.034790001809597,-0.101033590734005,0.034790001809597,0.0783699974417686,0.472290068864822,0.172739997506142,0.36176586151123,0.16279000043869,0.106260001659393,0.359345018863678,0.296580016613007,0.0498407073318958,0.0686499997973442,0.384072571992874,,,0.943499982357025,2.73909997940063,3,-0.0538558401167393,0.0337615013122559,-0.0557388700544834,22.1539993286132,21.5682506561279,21.9953308105468,10.3039999008178,12.0784997940063,13.7823295593261,1.52100002765655,1.29624998569488,1.32400000095367
SE0003617075,,Abelco Investment,Sverige,Investmentbolag,NGM,ABIG MTF,0.33500000834465,0.25,52.4609985351562,156.600006103515,,0.462999999523163,1.17999994754791,,0.428089737892151,1.30900001525878,,,-0.163829997181892,,68.0899963378906,,,,,,-12.0229997634887,,,,,-0.0385700017213821,,-0.117600001394749,,-1.94957995414733,-0.0481700003147125,,0.996510028839111,,-0.0808800011873245,,,,,,,-0.0284466147422791,0.0738255977630615,0.0175378322601318,-20.6790008544921,-10.339500427246,,-7.55600023269653,-7.55600023269653,,1.66299998760223,0.831499993801116,
SE0006256558,,Absolent,Sverige,Byggprodukter,First North,ABSO,121,-0.0453648902475834,1369.84094238281,11.3210000991821,,1.40400004386901,2.95300006866455,0.183567136526108,7.36509084701538,230.393005371093,0.280494660139084,20.9448184967041,-0.309760004281998,,311.408996582031,0.218383193016052,-0.0857705995440483,0.158414229750633,0.0748612657189369,0.109896615147591,73.4110031127929,0.655712962150573,0.00744000030681491,0.338129490613937,0.00744000030681491,0.234179988503456,-0.0499411709606647,0.565829992294311,0.11806433647871,0.279699981212616,0.180169999599457,-0.0160021837800741,0.456479996442795,0.0337658822536469,0.147349998354912,0.0437030754983425,,,,,1,-0.0218314528465271,0.00877022743225098,0.00637257099151611,21.257999420166,23.8904991149902,24.5323295593261,22.1499996185302,32.1997489929199,326.278411865234,3.13199996948242,3.61999988555908,3.64566707611083
SE0007387022,,Absolicon,Sverige,Energiproducenter,Aktietorget,ABSL,136.75,-0.396247267723083,130.186004638671,0.952000021934509,,0.215000003576279,3.68099999427795,,,34.7750015258789,,,-0.195580005645752,,45.2960014343261,,,,5.27745676040649,,,,,,,-0.172240003943443,,-0.326519995927811,,-0.215499997138977,-0.875920057296752,,0.440730005502701,,-0.768460035324096,,,-0.351799994707108,-0.529399991035461,-0.529399991035461,1,-0.310302972793579,-0.042535487562418,-0.0683265924453735,-17.3719997406005,-19.1076698303222,-9.69499969482421,,-8.31599998474121,-4.1579999923706,13.3500003814697,22.712999343872,9.71266746520996
SE0007897079,"AcadeMedia är en fristående utbildningsaktör. AcadeMedia är organiserat i fyra verksamhetssegment: Fo?r- och grundskola, Gymnasium, Vuxenutbildning och Internationell förskola.",AcadeMedia,Sverige,Konsument,Mid Cap,ACAD,60,-0.0163934417068958,5646,94.099998474121,,1.2130000591278,0.609000027179718,0.164435938000679,46.861701965332,3443,0.151505008339882,36.6276588439941,0.26690998673439,-0.178637370467186,7849,0.0890800580382347,0.100000001490116,0.304070800542831,0.0979814976453781,0.105562649667263,830,0.53136533498764,,,,0.161550000309944,0.0781500265002251,0.118790000677109,0.0950405597686768,0.120820000767708,0.0645999982953072,0.0397553518414497,0.699580013751983,0.0153555879369378,0.043699998408556,0.17948716878891,,,,,3,-0.0190553665161133,0.0468122959136963,0.00852370262145996,13.5719995498657,14.7066202163696,10.5466699600219,12.3819999694824,23.0599994659423,16.4426708221435,0.592999994754791,0.543749988079071,0.420666694641113
SE0000105116,"Acando är ett IT-konsultföretag. Företaget är indelat i tre affärsområden: Management Consulting, Enterprise Solutions och Digital Consulting and Solutions. Ett urval av tjänster och lösningar Acando erbjuder är verksamhetsutveckling, strategisk IT, business Intelligence, affärssystem. Företagets kunder består av både globala och regionala företag i olika branscher. Acando är strategisk partner med SAP och Microsoft. Företaget har 1800 anställda och är verksamt i Sverige, Tyskland, Norge, Finland och Storbritannien samt har leveranscentra i Indien och Lettland. Sommaren 2014 skedde ett sammanslagning av Acando och Connecta (där ingår Tarento, Techta och Titan IT). Titan IT med 25 konsulter såldes våren 2015.",Acando,Sverige,IT-Tjänster,Mid Cap,ACAN B,27.1000003814697,-0.0590277388691902,2787.64208984375,102.864997863769,,1.35699999332427,1.21000003814697,0.0576923079788685,6.02941179275512,1110,0.0561370141804218,10.8823528289794,-0.0324600003659725,,1725,0.0473588332533836,-0.338709682226181,0.173918589949608,0.0622837357223034,0.114285714924335,160,-0.313304722309113,0.047970000654459,-0.335411459207535,0.047970000654459,0.255060017108917,0.0582524240016937,0.223030000925064,0.290832281112671,0.170270010828972,0.104270003736019,0.22325199842453,0.373079985380173,-0.323431819677353,0.0807699933648109,0.0534759387373924,,,0.0306000001728535,1.7098000049591,3,-0.0253003239631653,0.0143791437149048,-0.062501072883606,14.75,12.2104997634887,12.7673301696777,21.2800006866455,21.8182506561279,17.4406700134277,1.19099998474121,1.01874995231628,0.959333419799804
